psraid,sample,ilang,cregion,usr,presapproval,presapprovestrength,countrydirection,approverace,approveeconomy,approvehealthcare,approveclimate,approveforeign,obamatough,approverepublicans,approvedemocrats,approvesupremecourt,approvecongress,supremecourtideology,supremecourtpower,equalrights,militarydiplomacy,racismproblem,knowirandeal,approveirandeal,relationshipirandeal,extremerepdem,peoplelikemerepdem,managegovrepdem,governsrepdem,immigrationrepdem,economyrepdem,terroristrepdem,environmentrepdem,abortionrepdem,taxesrepdem,foreignrepdem,healthcarerepdem,educationrepdem,deficitrepdem,gunsrepdem,approveaca,samesexmarriage,gunrights,owngun,approvesyria,groundtroopssyria,successsyria,approvecuba,approveendingembarago,knowconfederate,approveconfederate,rightconfederate,sex,age,education,hispanic,racecmb,religion,attend,income,registered,party,ideology,teaparty2,hh1,hh3,weight
101042,1,1,3,1,2,1,2,2,2,2,2,2,2,3,4,3,3,3,1,5,2,1,2,2,3,2,1,1,1,1,,,,,,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,3,1,2,70,3,2,1,13,5,2,1,1,2,3,1,,1.484848484848485
100079,1,1,2,1,2,2,1,2,1,2,1,2,,,,4,3,3,3,2,2,1,3,2,3,2,2,2,2,1,2,2,2,1,1,,,,,,2,4,1,4,2,2,4,2,2,3,3,2,1,65,2,2,1,1,2,2,,2,5,3,1,,1.424242424242424
101411,1,1,3,1,2,1,2,1,2,,,,2,2,3,4,2,3,1,1,2,2,2,,2,2,1,1,4,4,,,,,,,2,1,4,,2,3,1,2,,2,3,,2,2,3,,2,75,3,2,1,13,2,1,1,1,2,3,1,,1.484848484848485
202392,2,1,2,1,2,1,2,2,2,2,2,2,2,2,4,3,3,3,3,1,1,3,2,2,3,2,1,1,1,1,1,1,2,1,1,,,,,,2,3,1,2,1,1,2,1,1,1,3,1,2,49,5,2,1,1,4,6,3,1,2,3,5,4,3.575757575757575
102326,1,1,3,1,2,1,2,2,2,2,2,2,2,1,4,4,3,3,1,1,,4,1,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,2,4,1,4,1,1,3,2,2,1,1,2,2,73,5,2,1,13,1,3,1,1,2,1,1,,1.151515151515151
202594,2,1,3,1,2,1,2,2,2,2,,2,2,2,4,4,4,3,1,,5,1,2,1,2,2,1,4,1,4,,,,,,4,4,1,4,1,2,4,1,,1,1,3,1,1,1,1,2,1,,,2,1,1,1,,1,1,3,,,,1.212121212121212
204923,2,1,4,1,2,1,2,2,2,2,2,2,2,2,4,4,4,3,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,2,4,1,3,1,1,2,1,1,1,3,2,1,59,6,2,1,1,2,3,3,3,2,1,2,2,1.757575757575757
100288,1,1,3,1,2,2,,1,2,2,,1,2,,2,3,2,3,3,2,1,2,2,2,2,,,,,,,,,,,,,,,,,3,,3,,,3,1,1,2,2,1,2,59,5,2,1,1,4,,1,3,3,3,1,,2.878787878787879
101663,1,1,1,1,2,1,2,2,2,2,2,2,2,3,3,3,3,3,1,1,2,2,1,2,3,1,2,1,2,1,,,,,,2,1,2,4,1,2,1,1,1,1,2,2,1,2,1,1,2,2,37,5,2,1,1,4,6,3,1,3,3,4,2,3.454545454545454
202565,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,3,2,2,1,1,1,1,1,2,2,2,1,,,,,,1,2,2,2,2,1,2,2,4,1,1,2,1,1,1,3,1,1,43,6,2,2,13,2,8,1,2,3,3,1,,1.909090909090909
